MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
204AMO200,204,2005-04-11T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.585440738,37.48213,-121.5324
204ALA525,204,2012-05-22T00:00:00Z,5,2012,BMI_RWB,1,1.265903636,37.49664,-121.76043
204AMCADD,204,2014-04-25T00:00:00Z,4,2014,BMI_RWB,1,1.034566318,37.4974,-121.7736
204IND200,204,2008-04-29T00:00:00Z,4,2008,BMI_RWB,1,1.041114492,37.56223,-121.7982
204IND200,204,2009-04-13T00:00:00Z,4,2009,BMI_RWB,1,1.039851264,37.56223,-121.7982
204IND200,204,2010-05-25T00:00:00Z,5,2010,BMI_RWB,1,0.952889035,37.56223,-121.7982
204IND200,204,2015-04-28T00:00:00Z,4,2015,BMI_RWB,1,0.705437084,37.56223,-121.7982
204IND200,204,2015-06-15T00:00:00Z,6,2015,BMI_RWB,1,0.646688421,37.56223,-121.7982
204INDSAR,204,2004-05-06T00:00:00Z,5,2004,BMI_CSBP_Trans,1,1.13767593,37.56394,-121.7993
204LACSAC,204,2004-05-11T00:00:00Z,5,2004,BMI_CSBP_Trans,1,1.079035295,37.56583,-121.78083
204CE0516,204,2004-06-09T00:00:00Z,6,2004,BMI_RWB,1,0.379305416,37.56611,-121.9975
204AMO180,204,2005-04-11T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.932172222,37.60316,-121.66948
204AMO160,204,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.622359672,37.62683,-121.70485
204SIN300,204,2012-05-15T00:00:00Z,5,2012,BMI_RWB,1,0.766695648,37.64035,-121.92492
204AMO100,204,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.674064137,37.66747,-121.75031
204AMO070,204,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.315918944,37.67672,-121.81452
204CE0314,204,2007-05-30T00:00:00Z,5,2007,BMI_RWB,1,0.427572076,37.67861,-122.08555
204CE0314,204,2007-05-30T00:00:00Z,5,2007,BMI_TRC,1,0.508770959,37.67861,-122.08555
204CE0730,204,2007-05-30T00:00:00Z,5,2007,BMI_RWB,1,0.4227568,37.68,-122.08027
204CE0730,204,2007-05-30T00:00:00Z,5,2007,BMI_TRC,1,0.463921148,37.68,-122.08027
204PS0294,204,2015-05-06T00:00:00Z,5,2015,BMI_RWB,1,0.353032167,37.68094,-122.14463
204PS0294,204,2015-05-06T00:00:00Z,5,2015,BMI_RWB,2,0.368676797,37.68094,-122.14463
204PS0094,204,2010-07-14T00:00:00Z,7,2010,BMI_RWB_MCM,1,0.298971857,37.68936,-121.87581
204ALP010,204,2001-04-20T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.520783529,37.69708,-121.84964
204PS0102,204,2011-06-15T00:00:00Z,6,2011,BMI_RWB,1,0.841157652,37.69809,-122.02901
204PS0102,204,2011-06-15T00:00:00Z,6,2011,BMI_RWB,2,0.742536481,37.69809,-122.02901
204PS0102,204,2011-08-10T00:00:00Z,8,2011,BMI_RWB,1,0.832024513,37.69809,-122.02901
204ALP040,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.357947986,37.69856,-121.81728
204ALP080,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.474182902,37.69942,-121.77442
204ALP070,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.437900488,37.69961,-121.79886
204ALP110,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.444402681,37.70528,-121.75417
204ALP100,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.388984431,37.70739,-121.75325
204CLCACR,204,2014-04-25T00:00:00Z,4,2014,BMI_RWB,1,0.748415576,37.7177,-122.0544
204ALP140,204,2001-04-26T00:00:00Z,4,2001,BMI_CSBP_Trans,1,0.564579723,37.72175,-121.69658
204SLE030,204,2001-05-02T00:00:00Z,5,2001,BMI_CSBP_Trans,1,0.465573328,37.72556,-122.18361
204PS0038,204,2008-06-19T00:00:00Z,6,2008,BMI_RWB,1,0.387446973,37.72699,-122.1726
204WE0748,204,2001-08-20T00:00:00Z,8,2001,BMI_RWB,1,0.409250871,37.72768,-122.16887
204WE0748,204,2001-08-20T00:00:00Z,8,2001,BMI_TRC,1,0.393655096,37.72768,-122.16887
204AVJ130,204,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.332149487,37.75314,-122.14926
204AVJ090,204,2005-04-15T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.364424209,37.75769,-122.1469
204AVJ090,204,2005-04-15T00:00:00Z,4,2005,BMI_CSBP_Comp,2,0.384605471,37.75769,-122.1469
204AVJ020,204,2005-04-15T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.522347004,37.76253,-122.17539
204AVJ110,204,2005-04-15T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.693677129,37.77736,-122.14786
204PRL020,204,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.29082914,37.7781,-122.21812
204LIO080,204,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.493126767,37.78223,-122.18021
204SAU030,204,2005-04-14T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.488941311,37.78566,-122.22424
204SLE165,204,2001-05-03T00:00:00Z,5,2001,BMI_CSBP_Trans,1,1.207925446,37.79072,-122.08718
204LIO130,204,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.612966018,37.79185,-122.17948
204SLE170,204,2001-05-02T00:00:00Z,5,2001,BMI_CSBP_Trans,1,0.672053225,37.80028,-122.14472
204SLE180,204,2001-05-02T00:00:00Z,5,2001,BMI_CSBP_Trans,1,0.922531891,37.80111,-122.14472
204PRL080,204,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.423529038,37.80263,-122.19499
204SAU080,204,2005-04-14T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.499345801,37.80791,-122.21563
204SAU130,204,2005-04-14T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.934142904,37.81596,-122.20153
204LME100,204,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.17788048,37.81726,-122.26107
204CE0602,204,2005-06-01T00:00:00Z,6,2005,BMI_RWB,1,0.436461419,37.82388,-122.20361
204CE0602,204,2005-06-01T00:00:00Z,6,2005,BMI_TRC,1,0.493069609,37.82388,-122.20361
203TEM090,203,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.416384465,37.84359,-122.22686
203TEM060,203,2005-04-19T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.129673624,37.84671,-122.24824
203STW010,203,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.447648025,37.8679,-122.2869
203STW030,203,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.462868189,37.87051,-122.26495
203COD020,203,2005-04-11T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.274999099,37.88188,-122.30692
203COD080,203,2005-04-12T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.294773268,37.88242,-122.28475
203COD120,203,2005-04-13T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.213275895,37.88437,-122.26879
203CER020,203,2005-04-11T00:00:00Z,4,2005,BMI_CSBP_Comp,1,0.319119651,37.89821,-122.3039
534ARC279,534,2015-06-17T00:00:00Z,6,2015,BMI_RWB,1,0.86902520550084,38.40244,-119.8
534SED107,534,2006-08-18T00:00:00Z,8,2006,BMI_RWB,1,1.08972821523973,38.40272,-119.795
534SED001,534,2006-08-17T00:00:00Z,8,2006,BMI_RWB,1,1.02270795345616,38.40735,-119.79936
534SED001,534,2015-06-16T00:00:00Z,6,2015,BMI_RWB,1,1.02035430642281,38.40735,-119.79936
534SED001,534,2010-08-31T00:00:00Z,8,2010,BMI_RWB,1,1.0077254852861,38.40735,-119.79936
534WER219,534,2004-08-24T00:00:00Z,8,2004,BMI_RWB,1,0.867081802001523,38.41833,-119.75138
534WER219,534,2004-08-24T00:00:00Z,8,2004,BMI_TRC,1,1.17044647527076,38.41833,-119.75138
534WER219,534,2012-08-29T00:00:00Z,8,2012,BMI_RWB,1,0.838776012949693,38.41833,-119.75138
534DCC167,534,2013-08-14T00:00:00Z,8,2013,BMI_RWB,1,0.718301698027704,38.44072,-120.01115
632GOL001,632,2003-07-08T00:00:00Z,7,2003,BMI_SNARL,1,1.06970592545628,38.46,-119.7126
632COY002,632,2007-09-05T00:00:00Z,9,2007,BMI_RWB,1,1.08074356116401,38.46471,-119.57923
632COY002,632,2007-09-05T00:00:00Z,9,2007,BMI_TRC,1,1.14703402680566,38.46471,-119.57923
632COY001,632,2007-09-05T00:00:00Z,9,2007,BMI_RWB,1,1.21775338522571,38.48005,-119.59837
632COY001,632,2007-09-05T00:00:00Z,9,2007,BMI_TRC,1,1.23393026464788,38.48005,-119.59837
632MUR001,632,2003-07-09T00:00:00Z,7,2003,BMI_SNARL,1,1.11371156525167,38.4919,-119.7017
632MUR001,632,2011-09-07T00:00:00Z,9,2011,BMI_RWB,1,1.17706666385626,38.4919,-119.7017
632CRV002,632,2007-09-06T00:00:00Z,9,2007,BMI_RWB,1,1.16712318123644,38.49529,-119.60132
632CRV002,632,2007-09-06T00:00:00Z,9,2007,BMI_TRC,1,1.09387232805245,38.49529,-119.60132
532WER222,532,2004-07-28T00:00:00Z,7,2004,BMI_RWB,1,0.861971345108036,38.49611,-119.89388
532WER222,532,2004-07-28T00:00:00Z,7,2004,BMI_TRC,1,1.02709189507683,38.49611,-119.89388
632CRV001,632,2007-09-06T00:00:00Z,9,2007,BMI_RWB,1,1.15820504094528,38.4974,-119.60403
632CRV001,632,2007-09-06T00:00:00Z,9,2007,BMI_TRC,1,1.21096334401301,38.4974,-119.60403
632SVK004,632,2007-09-06T00:00:00Z,9,2007,BMI_RWB,1,1.08154289529668,38.49751,-119.60394
632SVK004,632,2007-09-06T00:00:00Z,9,2007,BMI_TRC,1,1.22629994400271,38.49751,-119.60394
632ELD001,632,2003-07-10T00:00:00Z,7,2003,BMI_SNARL,1,1.07066921078439,38.4999,-119.7398
632ELD001,632,2011-09-08T00:00:00Z,9,2011,BMI_RWB,1,1.02118363271514,38.4999,-119.7398
